en,pl
after,po
wszystkie,all
waits,czeka
suddenly,nagle
[he] handed,podał
suddenly,nagle
before,zanim
more,więcej
entered (a place),wszedł
he did,zdążył
jacket,kurtkę
during,podczas
with whom,z którą
he asked,zapytał
he believed,wierzył
take off (a jacket),ściągnął
you sent,wysłałeś
he couldn’t,nie mógł
he thought,pomyślał
she asked,zapytała
After a moment,Po chwili
"In the middle,",Po środku
Karolina?,Karolina?
anything | whatever,cokolwiek
interrupted,przerwała
found,znajdował
kindly,uprzejmie
happy | lucky,szczęśliwy
feeling | hunch,przeczucie
dream,wymarzonej
surprised,zaskoczoną
on the ground floor,na parterze
Did you know?,Wiedziałaś?
he knew,he wiedział
he didn't believe,nie wierzył
[she] said,powiedziała
separates me,dzieli mnie
ruin it,tego zepsuć
I found out,dowiedziałam
decided,Postanowiłam
Tomek felt,Tomek poczuł
replied,odpowiedział
"No, thanks",Nie dziękuję
"a week ago,",tydzień temu
You have the job,Masz tę pracę
she replied,Odpowiedziała
remembered,przypomniałam
One interview,Jedna rozmowa
he thought,pomyślał Tomek
way of escape,drogi ucieczki
what he heard,to co usłyszał
The office was huge,Biuro było duże
Karolina added,Karolina dodała
entered the office,wszedł do pokoju
half an hour ago,pół godziny temu
I had a hunch,Miałam przeczucie
This was his moment,To był ten moment
I wanted to see,Chciałam zobaczyć
coincidence,zbieg okoliczności
know nothing more,nic więcej wiedzieć
and on the right side,a po prawej stronie
replied quickly,odpowiedział szybko
there was the office,znajdował się pokój
I can’t ruin it,Nie mogę tego zepsuć
believe his eyes,uwierzyć swoim oczom
he chatted in the café,rozmawiał w kawiarni
Karolina said,powiedziała Karolina
your surprised face,twoją zaskoczoną minę
He was really happy,Był bardzo szczęśliwy
nervously took off his jacket,nerwowo ściągnął kurtkę
there wasn’t a way of escape,nie ma już drogi ucieczki
Then I remembered,"Wtedy przypomniałam sobie,"
I can’t believe it’s you,Nie mogę uwierzyć że to ty
all the stress was suddenly gone,cały stres nagle go opuścił
Ms Karolina waits for you,Pani Karolina czeka na Pana
There was a woman sitting at the desk,Przy biurku siedziała kobieta
the secretary asked politely,zapytała uprzejmie sekretarka
I decided not to tell you,Postanowiłam nic ci nie mówić
This has to be a coincidence,To musi być zbieg okoliczności
Karolina interrupted him and added,Karolina przerwała mu i dodała
after you showed me your CV,po tym jak pokazałeś mi swoje CV
Would you like to have some coffee?,Czy chciałby Pan napić się kawy?
you mailed the same thing,takie samo wysłałeś do nas mailem
during our conversation in the café,podczas naszej rozmowy w kawiarni
I don’t have to know anything else,Nie muszę już nic więcej wiedzieć
Before he could say anything,Zanim zdążył cokolwiek powiedzieć
Tomek couldn’t believe what he heard,Tomek nie wierzył w to co usłyszał
I learned everything about you,Wszystkiego o tobie dowiedziałam się
separates me and my dream job,dzieli mnie od mojej wymarzonej pracy
Tomek handed all the documents to the secretary,Tomek podał wszystkie dokumenty sekretarce
